ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2011,Effectifs,Médecins (ETP),1160.0,93.0,1253.0,ETP
2012,Effectifs,Médecins (ETP),1160.0,93.0,1253.0,ETP
2013,Effectifs,Médecins (ETP),1275.33,100.33,1375.67,ETP
2014,Effectifs,Médecins (ETP),1390.67,107.67,1498.33,ETP
2015,Effectifs,Médecins (ETP),1506.0,115.0,1621.0,ETP
2016,Effectifs,Médecins (ETP),878.26,68.74,947.0,ETP
2017,Effectifs,Médecins (ETP),878.26,68.74,947.0,ETP
2011,Effectifs,Médecins (effectif physique),1846.0,138.0,1984.0,personnes
2012,Effectifs,Médecins (effectif physique),1846.0,138.0,1984.0,personnes
2013,Effectifs,Médecins (effectif physique),2030.69,151.81,2182.5,personnes
2014,Effectifs,Médecins (effectif physique),2215.39,165.61,2381.0,personnes
2015,Effectifs,Médecins (effectif physique),2400.08,179.42,2579.5,personnes
2016,Effectifs,Médecins (effectif physique),2584.77,193.23,2778.0,personnes
2017,Effectifs,Médecins (effectif physique),2584.77,193.23,2778.0,personnes
2011,Effectifs,Personnel paramédical (ETP),6312.0,770.0,7082.0,ETP
2012,Effectifs,Personnel paramédical (ETP),6312.0,770.0,7082.0,ETP
2013,Effectifs,Personnel paramédical (ETP),6507.0,831.0,7338.0,ETP
2014,Effectifs,Personnel paramédical (ETP),6702.0,892.0,7594.0,ETP
2015,Effectifs,Personnel paramédical (ETP),6897.0,953.0,7850.0,ETP
2016,Effectifs,Personnel paramédical (ETP),5827.3,757.7,6585.0,ETP
2017,Effectifs,Personnel paramédical (ETP),5827.3,757.7,6585.0,ETP
